run_id,notebook,source,model,precision,runtime,device,input_tokens,output_tokens,ttft_s,decode_tps,peak_mem_mib,cpu_rss_delta_mib,model_file_mib,quality_score,timestamp,notes,FAIL_사유,결측_지표,판정
f7a20f77,v2_d1_01,measured,(env),,env,T4,,,,,,,,,2026-07-24T00:01:12+00:00,device_label=T4;cpu_cores=2;ram_gib=12.67;gpu_vram_gib=14.56;transformers=5.14.1,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
,,theoretical,,,,,,,,,,,,,,,,ttft_s decode_tps quality_score memory ,판정불가
3335a1ca,v2_d1_02,measured,SmolLM2-360M-Instruct,fp16,transformers,T4,121,92,0.05,23.4,709.6,,780.1,3.0,2026-07-24T00:27:26+00:00,probe=3/6;load_s=6.1,,,PASS
e671fa5b,v2_d1_02,measured,Qwen2.5-0.5B-Instruct,fp16,transformers,T4,59,96,0.04,29.4,959.3,,1201.9,4.0,2026-07-24T00:27:58+00:00,probe=4/6;load_s=5.2,,,PASS
64b55fdb,v2_d1_02,measured,Qwen3-0.6B,fp16,transformers,T4,38,96,0.055,20.4,1166.7,,1433.6,0.0,2026-07-24T00:28:55+00:00,probe=0/6;load_s=7.8,quality ,,FAIL
71477057,v2_d1_02,measured,HyperCLOVAX-SEED-Text-Instruct-0.5B,fp16,transformers,T4,28,96,0.037,24.8,1099.1,,1296.1,4.0,2026-07-24T00:29:37+00:00,probe=4/6;load_s=6.3,,,PASS
2f6533ce,v2_d1_02,measured,Qwen3-0.6B,fp16-thinking,transformers,T4,27,256,0.055,19.0,,,,,2026-07-24T00:29:59+00:00,enable_thinking=True;max_new_tokens=256,,quality_score memory ,판정불가
c8ab57d7,v2_d1_02,measured,Qwen3-0.6B,fp16-nothink,transformers,T4,31,11,0.055,20.4,,,,,2026-07-24T00:30:00+00:00,enable_thinking=False;max_new_tokens=256,,quality_score memory ,판정불가
